	0.200000002980232	0.400000005960464	0.629999995231628	0.800000011920929	1	1.25	1.60000002384186	2	2.5	3.15000009536743	4	5	6.30000019073486	8	10	12.5	16	20	25	31.5	40	50	63	80	100	125	160	200	250	315	400	500	630	800	1000	1250	1600	2000	2500	3150	4000	5000	6300	8000	10000	12500	16000	20000	25000
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000065-121223-142939625-000	-90.9533309936523	-87.1756057739258	-82.8670196533203	-80.8338088989258	-85.0338287353516	-87.9225845336914	-78.9224624633789	-80.4533157348633	-80.3231201171875	-81.3921356201172	-80.4575805664063	-78.4149398803711	-76.5384902954102	-75.564323425293	-78.5252990722656	-80.6323394775391	-76.4587020874023	-75.255744934082	-75.3297729492188	-72.7948837280273	-71.7399597167969	-72.7574920654297	-70.8673400878906	-67.1973571777344	-58.3216018676758	-50.1204948425293	-44.8571357727051	-45.628246307373	-45.369026184082	-43.1908531188965	-41.1780853271484	-40.0920028686523	-38.4973297119141	-34.5842399597168	-29.2266387939453	-34.296688079834	-34.2636985778809	-39.7643127441406	-46.2132415771484	-40.7439765930176	-35.9075698852539	-39.3492774963379	-43.3599815368652	-38.5357322692871	-32.4317588806152	-42.8502883911133	-49.0301780700684	-74.4978408813477	-90.2895584106445
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000087-121223-142501483-000	-89.1015014648438	-80.1862182617188	-86.0523071289063	-82.8767395019531	-86.1026306152344	-83.3456268310547	-79.7836761474609	-77.5279083251953	-83.8091659545898	-78.1680221557617	-79.5991439819336	-74.2371673583984	-75.6142578125	-76.8633041381836	-77.0949859619141	-77.3254089355469	-75.9337692260742	-76.0798950195313	-73.5119781494141	-75.2578353881836	-70.6353912353516	-72.8663482666016	-71.2258148193359	-66.9220199584961	-58.2579727172852	-50.1341285705566	-44.843090057373	-45.5871620178223	-45.2979698181152	-43.1040229797363	-41.0620079040527	-39.9573974609375	-38.3784561157227	-34.5461578369141	-29.0440902709961	-34.088077545166	-34.1129417419434	-39.7226371765137	-46.1736068725586	-40.3290405273438	-35.9580726623535	-39.7584686279297	-43.1117515563965	-38.7234764099121	-33.2897720336914	-42.6201133728027	-48.4312133789063	-75.233154296875	-89.0390090942383
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000101-121223-155814514-000	-89.5197830200195	-97.2929000854492	-92.8990097045898	-77.7667770385742	-81.7067947387695	-83.1679306030273	-79.8446350097656	-75.7005615234375	-85.3277206420898	-87.3050994873047	-75.6505508422852	-73.9969863891602	-76.0685882568359	-75.6702423095703	-76.2971649169922	-77.6523513793945	-76.7971267700195	-75.4754943847656	-75.1398544311523	-74.3189315795898	-71.326042175293	-72.6139221191406	-71.2790679931641	-67.0452728271484	-58.2966728210449	-49.777759552002	-44.6896438598633	-45.4995079040527	-45.1417121887207	-43.0893592834473	-40.7915687561035	-39.837818145752	-38.3119125366211	-34.2728118896484	-28.9146633148193	-33.8793601989746	-34.0415115356445	-39.4539947509766	-46.1025047302246	-40.0735702514648	-35.6858520507813	-39.5238494873047	-43.1731910705566	-38.338436126709	-32.2047805786133	-41.4505767822266	-48.4265060424805	-75.2672424316406	-91.1775970458984
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000123-121223-152045426-000	-81.4784393310547	-82.9521865844727	-85.6493453979492	-78.5051727294922	-90.2079162597656	-88.9880599975586	-76.5933227539063	-74.5844345092773	-73.3423385620117	-78.6318054199219	-74.0616836547852	-74.7144775390625	-74.68603515625	-74.0740509033203	-74.5752258300781	-73.727783203125	-76.8660430908203	-76.063835144043	-73.9526443481445	-73.541748046875	-72.1623840332031	-72.6723251342773	-71.5869369506836	-67.0351104736328	-58.4596366882324	-50.2257194519043	-45.1945037841797	-45.9951400756836	-45.6174621582031	-43.5197601318359	-41.2130165100098	-40.2360038757324	-38.662425994873	-34.7545433044434	-29.463306427002	-34.4386558532715	-34.441707611084	-40.0356483459473	-46.540168762207	-40.8521957397461	-36.2205085754395	-39.8672561645508	-43.7638931274414	-39.674877166748	-34.5090179443359	-46.3465614318848	-50.2949485778809	-74.0524520874023	-84.7490844726563
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000027-121223-152957645-000	-93.9848785400391	-80.5727462768555	-97.243049621582	-80.0539703369141	-92.8619232177734	-82.7323455810547	-76.959228515625	-78.1904449462891	-78.2266616821289	-80.3807907104492	-74.8151626586914	-74.1648483276367	-75.5760650634766	-73.9038696289063	-74.9412460327148	-74.6255493164063	-74.4916458129883	-73.4347381591797	-73.2060317993164	-73.4619827270508	-70.7574462890625	-71.2095413208008	-70.1075057983398	-66.9228286743164	-58.5780448913574	-50.1004829406738	-45.1180648803711	-45.9223289489746	-45.558406829834	-43.4940414428711	-41.1836624145508	-40.2061653137207	-38.6282196044922	-34.6678199768066	-29.3580703735352	-34.3325881958008	-34.3902282714844	-39.8706245422363	-46.4614295959473	-40.478328704834	-36.1181678771973	-39.9521560668945	-43.4277038574219	-39.0182952880859	-33.1904144287109	-43.5863151550293	-49.395923614502	-74.9225387573242	-85.4696578979492
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000083-121223-152325990-000	-90.1594314575195	-81.1713104248047	-86.2619552612305	-78.9334030151367	-81.2075958251953	-85.1470718383789	-78.0966796875	-78.2960510253906	-83.0916748046875	-79.0017852783203	-77.5972213745117	-74.1391754150391	-72.8354797363281	-74.1384124755859	-76.2843170166016	-74.7003021240234	-78.3749160766602	-75.4185562133789	-75.6703033447266	-76.2058563232422	-71.6637191772461	-72.9612121582031	-71.9281539916992	-67.3403854370117	-58.6498985290527	-50.23828125	-45.2190170288086	-46.0042114257813	-45.6380081176758	-43.5971565246582	-41.2573547363281	-40.2921562194824	-38.7443504333496	-34.7520446777344	-29.4219627380371	-34.4303398132324	-34.5011329650879	-39.9974517822266	-46.5621643066406	-40.6935081481934	-36.1770095825195	-39.8579978942871	-43.5282249450684	-39.140625	-33.4413719177246	-43.5736045837402	-48.7300415039063	-73.9093704223633	-85.7470397949219
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000185-121223-120323369-000	-91.8656768798828	-79.4938354492188	-83.2146987915039	-82.1674728393555	-85.1954574584961	-78.4239501953125	-79.8424530029297	-84.6479339599609	-83.0011672973633	-77.7967376708984	-80.1691360473633	-75.411750793457	-73.290153503418	-76.1641998291016	-75.7860641479492	-78.0072174072266	-78.8147506713867	-77.4440841674805	-77.740119934082	-72.717529296875	-71.3899459838867	-72.7415237426758	-71.8804168701172	-67.4153366088867	-58.8812103271484	-50.3249053955078	-45.2504615783691	-46.0648002624512	-45.731761932373	-43.6961402893066	-41.3710021972656	-40.4189147949219	-38.8858413696289	-34.9299392700195	-29.5365104675293	-34.4735794067383	-34.6089210510254	-40.0827560424805	-46.7110633850098	-40.7819862365723	-36.2301063537598	-40.0899848937988	-43.9188423156738	-39.2187271118164	-33.3091049194336	-43.6152763366699	-49.5746803283691	-75.449951171875	-90.3314361572266
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000254-121223-142232702-000	-88.9365921020508	-83.2138900756836	-103.831596374512	-81.6548385620117	-94.9223709106445	-83.1402053833008	-78.9777450561523	-77.5874557495117	-77.3857650756836	-75.6063232421875	-75.17431640625	-74.4750442504883	-74.4584732055664	-77.4186172485352	-75.0606536865234	-76.9093704223633	-75.8263473510742	-73.6883316040039	-74.5872268676758	-73.2191619873047	-70.1144180297852	-72.7022094726563	-71.3567352294922	-67.2446899414063	-58.5818901062012	-50.0949630737305	-45.0118026733398	-45.8467750549316	-45.5245971679688	-43.5105934143066	-41.1650123596191	-40.1709442138672	-38.6245803833008	-34.7011680603027	-29.3697643280029	-34.3716354370117	-34.3532943725586	-39.9203987121582	-46.4942855834961	-40.7633781433105	-36.105899810791	-39.7224159240723	-43.5963249206543	-39.4118194580078	-34.1655235290527	-45.7790908813477	-50.285343170166	-75.9829711914063	-90.1730575561523
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000265-121223-143505532-000	-86.285041809082	-77.9028244018555	-83.283821105957	-82.8341598510742	-82.0714797973633	-78.0322875976563	-89.7941589355469	-77.7418975830078	-78.2340698242188	-75.1182403564453	-78.0380172729492	-75.6283416748047	-73.0687255859375	-75.5779342651367	-77.3296966552734	-77.6071014404297	-78.1764907836914	-75.8518447875977	-77.6164855957031	-74.1285018920898	-71.6242446899414	-73.0032653808594	-71.6815567016602	-67.2879409790039	-58.6224975585938	-50.16796875	-45.1271438598633	-45.9099769592285	-45.5924453735352	-43.5700454711914	-41.2554016113281	-40.2948684692383	-38.7103843688965	-34.7262573242188	-29.4313125610352	-34.4022674560547	-34.3847389221191	-39.8593978881836	-46.4750823974609	-40.6456336975098	-36.1010780334473	-39.911506652832	-43.3030052185059	-39.0303421020508	-33.1099662780762	-42.5547943115234	-48.8810234069824	-75.2705459594727	-87.9437866210938
