	100	125	160	200	250	315	400	500	630	800	1000	1250	1600	2000	2500	3150	4000	5000	6300	8000
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000065-121223-142939625-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000087-121223-142501483-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000101-121223-155814514-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783340000123-121223-152045426-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000027-121223-152957645-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000083-121223-152325990-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000185-121223-120323369-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000254-121223-142232702-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000265-121223-143505532-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000403-121223-121142322-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000425-121223-120914986-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
EZR-MIC-FAILED-05_BAC_ASSEMB_01_02-12783341000470-121223-120551408-000	-60.5207748413086	-51.7269172668457	-46.7722702026367	-48.2542037963867	-48.7285995483398	-46.5959434509277	-44.2944869995117	-43.4329223632813	-42.3818397521973	-36.664493560791	-30.9052619934082	-36.6478462219238	-36.392333984375	-42.0215339660645	-52.312198638916	-44.5137062072754	-37.6840553283691	-48.2008666992188	-43.8662223815918	-39.4916191101074
